数据管理专员,拜耳医药保健有限公司,北京,1-2万/月,07-22,[],[],[],[],[]
全栈工程师（大数据方向or人工职能方向）,深圳正威（集团）有限公司,深圳-福田区,1.2-2万/月,07-22,"['深圳-福田区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招3人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['10000人以上'],['多元化业务集团公司'],"['岗位职责：', '1、根据公司项目需要，在源码市场找寻符合要求的软件产品；']"
数据专员（实习生）,顺丰速运有限公司,上海-青浦区,3.5-5千/月,07-22,[],[],[],[],[]
数据支持,北京每日优鲜电子商务有限公司,武汉-洪山区,4.5-6千/月,07-22,"['武汉-洪山区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['1000-5000人'],['互联网/电子商务'],"['【工作岗位】', '1、完成日常销售数据分析，制作销售报销；\xa0', '2、日常运营策略的执行，并监控策略执行效果；', '3、其他日常工作。\xa0\xa0', '【任职要求】', '1、\xa0踏实认真靠谱，对数据敏感，熟练使用EXCEL；\xa0', '2、做事不拖沓，能够适应互联网公司工作节奏。']"
液奶南京区域配送中心数据分析专员（物流）,内蒙古伊利实业集团股份有限公司,南京,4.5-6千/月,07-22,"['南京\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['上市公司'],['10000人以上'],"['快速消费品(食品、饮料、化妆品),贸易/进出口']","['1、人事行政工作及制度文件管理，区域配送中心文件汇总整理及修订工作，对事业部有关通知及时传达到相关人员，并追踪落实。各项文件保存归档，及时更新相关制度；2、广促品系统操作及销售对接，广促物料存货及配送管理；3、直营、电商广促品处理，报表反馈；4、领导临时交办的其他事宜。', '学历：大专专业：物流管理、交通运输', '专业知识技能：懂财务知识；熟练操作计算机；有劳动人事、行政管理经验', '行业或专业经验要求：熟悉办公自动化.', '工作经验年限：2年以上工作经验']"
安居客集团直招客服数据运营岗位,瑞庭网络技术（上海）有限公司,上海-浦东新区,1-1.5万/月,07-22,"['上海-浦东新区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招5人\xa0\xa0', '\xa0\xa007-22发布']",['上市公司'],['10000人以上'],['互联网/电子商务'],"['岗位职责：', '1.  熟知各项目进度，协助客服部门负责人完成项目相关运营工作处理。', '2.  协调各部门资源（含系统、客服团队、销售团队、运营内部以及落地城市），根据项目关键节点, 并推动客服部门落实项目并执行。', '3.  了解业务场景和需求点, 收集内部反馈、定期调查并及时发现和分析问题，通过运营活动，提升客服人效、客服关键指标、业绩等，提出优化建议,并对结果负责。', '4.  参与制定客服部门流程及管理规范，推动服务流程优化，提升B端及C端用户体验。 ', '任职要求：', '1.  大学本科以上学历，三年以上运营或项目管理相关经验，有房产和互联网工作经验者优先；', '2.  具有较强的沟通和协调能力，具备一定的抗压能力，能够协助业务团队完成既定目标；', '3.  具有较强的文档和数据分析能力，熟练使用excel，word，powerpoint，visio，SQL等办公软件；', '4.  具有较强的落地实施能力，能够根据落地进展调整落地方案。', '【薪资福利】', '1、 基本薪资+绩效奖金+各项补贴，缴纳五险一金（养老保险、医疗保险、工伤保险、失业保险、生育保险+住房公积金）；', '2、 上市企业，福利优厚！入职签订劳动合同、即上五险一金，每年提供一次免费健康体检，夏季享受高温补贴，冬季发放取暖费！', '3、 每年提供一次健康体检，另有公司特有的“爱心基金”为员工解决家庭后顾之忧；', '4、 完善的培训体系,企业专职培训师，为您提供专业的带薪培训，从产品、市场、数据、沟通等多维度提升员工综合能力；', '5、 公平公正的晋升制度，阶梯性职级考核——基本薪资和绩效奖金均有提升，给小伙伴能力展现的舞台；', '6、 员工旅游+聚餐+团建+拓展训练等；', '7、 舒适的办公环境，丰富的休闲活动区域供小伙伴们选择；']"
大数据开发工程师,武汉佰钧成技术有限责任公司,武汉-洪山区,1-1.5万/月,07-22,"['武汉-洪山区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['10000人以上'],"['计算机软件,计算机服务(系统、数据服务、维修)']","['岗位职责', '1、参与大规模数据快速查询系统的架构设计和开发；', '2、大规模数据挖掘和机器学习算法的实现；', '3、在线和离线海量数据分析平台的开发；', '4、研究大数据前沿技术，提升系统的运维效率；', '5、实现大数据基础架构平台的自动化运维。', '任职资格', '1、本科全日制 计算机相关专业,具有4-5以上大数据开发经验，熟悉Java,Linux；', '2、熟悉Hadoop大数据处理系统的开发,搭建及部署者优先；', '3、熟练地处理数据模型、数据ETL以及存储管理；', '4、熟悉HDFS/Hive/MapReduce/Kylin/HBase，能独自进行Mapreduce程序开发者优先；', '5、熟悉分布式系统概念、架构，有大规模分布式系统设计、实现、部署等经验；', '6、有较强的书面与口头沟通表达能力，独立分析、解决问题的能力。', '1、精通oracle开发，熟悉jalor框架，熟悉Oracle或MySQL数据库的使用，能看得懂存储过程，有3~6年相关开发工作经验；', '2、有华为项目经验或企业ERP或供应链系统经验者优先考虑，思维敏捷、有较强的逻辑思维能力、较强的学习能力、抗压能力；', '3、态度积极，有上进心，沟通能力良好，乐于接受平常加班，居住地离宝能较近；', '4、学历要求全日制本科，计算机专业。', '5、工作沉稳扎实、不浮躁，能独立承担功能开发的重任']"
数据分析师,东亚银行（中国）有限公司,上海,,07-22,"['上海\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['外资（非欧美）'],['1000-5000人'],['银行'],"['．大学本科及以上学历，具备统计、精算、数学、计算机专业背景优先;', '2．精通SQL，有较好的SQL性能调优经验；', '3．精通Cognos, BO, BIEE，tableau等其中一个报表工具。', '4．有DBA经验、Hadoop、Hive等分布式计算平台使用经验者优先；', '5．熟悉hadoop数据仓库模型，有银行，互联网金融，电信等行业应用经验者优先；']"
数据分析实习生,上海药明康德新药开发有限公司,上海-浦东新区,,07-22,"['上海-浦东新区\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa007-22发布']",['上市公司'],['10000人以上'],"['制药/生物工程,外包服务']","['（1）协助上级主管按时完成各项数据分析统计工作；', '（2）负责业务数据收集整理，对多种数据源的数据进行组合分析；', '（3）负责日常的数据统计和处理；', '（4）完成数据分析项目过程中的数据提取、数据分析、数据展示工作；', '（5）出具相关数据报告；', '任职要求：', '（1）大学本科学历或以上；', '（2）能熟练运用EXCEL进行数据分析（求和、平均、筛选熟练），能透视表格，会插入柱状图或者扇形图且应用熟练；', '（3）能熟练使用WORD、EXCEL、PPT\xa0等办公软件；', '（4）具有较强的逻辑思维能力、对数字极具敏感性；', '（5）工作认真细致，有求知欲，具有敬业精神、沟通能力和团队合作精神；']"
大数据离线平台研发工程师,爱回收,上海-杨浦区,2.5-2.8万/月,07-22,"['上海-杨浦区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa007-22发布']",['民营公司'],['5000-10000人'],"['互联网/电子商务,环保']","['岗位职责：', '1.参与大数据离线平台的系统设计和研发； ', '2.负责大数据离线平台日常运维、监控巡检、优化、故障处理等', '3.负责大数据离线平台升级和打patch补丁', '职位要求：', '1. 三年以上大数据工作经验；至少两年以上大数据离线平台经验；', '2. 熟悉Hive、Hadoop、YARN 的原理，能够独立部署集群，日常运维和故障处理和集群优化；', '3. 熟悉Hive、Hadoop、YARN 任意源码者优先', '4. 有生产Hadoop版本升级经验优先']"
