,用户名,弹幕,会员等级,发布时间,弹幕点赞数,弹幕id
0,,  欣欣我来啦！,0,59,2,6755709016124889892
0,,上一期不是南南和鹿晗送外卖吗?为啥是鹿晗和陈赫,0,55,4,6755714256000809461
0,成长, 这么多人提前守着,0,55,1,6755717202189681564
0,, 哎，现在看了，晚上看什么，真不忍心看,0,59,6,6755722061131481143
0,,欣欣子我来了,0,58,2,6755752844449034483
0,远琴,77我来了,0,59,0,6755760651428361201
0,,哈哈哈哈哈,0,57,0,6755764898220241101
0,,来看王晨艺,0,58,3,6755769063382911698
0,, 来看晨艺,0,59,2,6755817547661589362
0,, [鸡腿]0,0,59,0,6755810710032686652
0,,哎呦喂,0,55,0,6755837133908808013
0,,期待虞书欣啦,0,59,1,6755855461472811403
0,,齐齐我来啦,0,55,0,6755861200690981041
0,,77,0,57,0,6756062871601480002
0,,哈哈,0,55,0,6756083434905599807
0,, 这是又提前了吗,0,57,0,6756108397550487477
0,最帅小男孩,鹿晗呐,0,57,0,6756501021112434077
0,,齐齐二姨来啦,6,31,5,6755690587770787782
0,,哈哈哈哈哈,6,32,5,6755690676953297399
0,,现在是11点44,0,31,2,6755691197769433423
0,,第一,2,33,6,6755691523883939245
0,小幸福,来啦来啦,2,34,2,6755691911223374606
0,,家人们，一起哈哈哈哈哈,0,34,5,6755693815208070375
0,,来了鹿,1,30,9,6755694314715810618
0,甜馨美妆, 晨艺我来了哈哈哈哈哈,0,33,12,6755694332347953904
0,悟,我是第一个,0,30,13,6755695210942107503
0,,掐着点来的哈哈哈,0,33,6,6755695222577106816
0,, 晨艺我来啦,0,30,17,6755696085286716403
0,,来看欣欣,0,33,0,6755696152060301729
0,, 来看虞书欣,0,30,6,6755696140701860930
0,,欣欣宝贝,0,34,0,6755696157412280600
0,F,啊，鹿子，来了来了,0,33,1,6755696613742803475
0,大大大大大林, 鹿晗我爱你,0,31,4,6755697293694008738
0,,张颜齐！,0,33,1,6755698003270943482
0,,。,0,30,0,6755700535753949252
0,, 晨艺我来了,0,30,5,6755702944228120721
0,WanYin😉, 张颜齐！！,0,30,2,6755703946809420731
0,,期待张颜齐,1,32,4,6755704660814188022
0,,就喜欢这不准时,0,33,1,6755704766861606111
0,,来了来了,0,30,2,6755702390970101154
0,我是非主流.,欣欣子我来啦,0,31,2,6755715903419521219
0,,刚刚微博过来，恭喜鹿哥官宣代言,3,33,1,6755720930883285692
